output,synthRankSize,gravityGamma,gravityDecay,gravityInterRatio,nwGmax,nwExponent,nwReinQuantile,govCostToAccess,govEffectiveProba,seed
deltaPop,0.2187851566950075,0.3721860848413616,0.14530400163886859,0.586854307497151,0.002889372332679469,6.944861289420774E-4,0.0024138253082469485,3.8564858142915037E-4,0.0025959944680199786,0.05910282457105949
deltaAccessibility,0.09615914367860796,0.16182539484323163,0.789803309758638,0.031396095919935044,0.1750720102723573,0.007691428241428651,0.03035552924974677,0.002511621302669452,0.01020004031913278,0.0983366400254476
deltaCloseness,0.005177909858922585,0.03608537350406299,0.01425194090424304,0.003560793359811556,0.6807981627680363,0.09308177964980031,0.4053860337008034,0.0013359263530343824,0.002350005617131159,0.01943962166293595
deltaPopBaseline,0.2182149643305635,0.36462555138281094,0.13033040937984317,0.6133716983989703,0.006550961283470074,3.401621644551055E-4,7.965848293692308E-4,1.6374957794267688E-12,6.194980955903657E-13,0.05756112667596724
deltaAccessibilityBaseline,0.08327683964700362,0.17380349397176337,0.7731840790504267,0.031210632567326427,0.15529618975526338,0.007962661927306587,0.05723903555228689,2.4423116539939936E-10,5.718602964871794E-10,0.09312113853297406
deltaClosenessBaseline,0.0028646736630718365,0.02208790690746791,0.008328240820911758,0.0014687808275352778,0.7043029523640125,0.09094528391898499,0.40726992246992555,3.891905025920106E-8,1.0974912293790604E-8,0.013314857621234794
deltaEntropyPop,0.12946421020916293,0.5599618460810403,0.1297007866902337,0.3601192405841216,0.0030395043136037902,6.398804447323164E-4,0.0015164970699676301,7.061165285709684E-4,0.001135098076906548,0.045543704265790894
deltaEntropyCloseness,0.0253476569627423,0.08169234834984773,0.12963650406295935,0.021275558836105973,0.713953870762389,0.109316980040121,0.2196567910784238,0.005527045053705493,0.016681403074474545,0.1829757331304283
deltaEntropyAccessibility,0.05185939765731542,0.18489290395780153,1.009917898566337,0.02814093602607125,0.10636657699023765,0.022922292559252502,0.14681164424460466,0.005457520332506874,0.02165537762079369,0.16137275565130824
deltaHierarchiesPop,0.32035619993732567,0.48458133273375614,0.1189142902309161,0.2646898698269951,0.002128175436379689,3.7802112157784017E-4,0.0012823620523546215,3.2349384187239786E-4,8.392145152708099E-4,0.03593844480298731
deltaHierarchiesCloseness,0.01616192597378613,0.05678790384177138,0.07426582064296769,0.014975564556311606,0.7237772870833551,0.10502801283697367,0.16134075799657854,0.003613351076413068,0.01218336236260347,0.2012079780119506
deltaHierarchiesAccessibility,0.12116629479435367,0.24889508007361255,0.49473316736699763,0.06494041529855225,0.12267982114893088,0.02039607995267058,0.1553495814601287,0.0026407123422447416,0.013188810488808506,0.26765757854225763
deltaHierarchiesPopBaseline,0.3142808613244495,0.4778737751923106,0.10275299579440979,0.29924944548847426,0.006293589295968217,7.063725492157154E-4,0.0010914826584679973,8.016167852067814E-11,8.708192490659701E-12,0.039527998092227304
deltaHierarchiesClosenessBaseline,0.00859926754048441,0.04188808042841538,0.03461087654387413,0.005703668859021363,0.7319690830314264,0.07828754762248731,0.17483743464148813,2.185687023229276E-7,1.1120993647336747E-6,0.18011472565879044
deltaHierarchiesAccessibilityBaseline,0.08714586228926428,0.20393708530738713,0.3389212807882104,0.06401189299715673,0.2655612572212219,0.03835221703151433,0.2867468807054428,2.4272553373678907E-7,3.6809723564296005E-7,0.23307287650445338
deltaRankCorrsPopCloseness,0.004522387961319762,0.0493486200137804,0.00678591130033409,0.004941492699140543,0.1678655197539036,0.010154284524525208,0.04912492131528291,0.004312595115362878,0.005757348254450042,1.1325412885885302
deltaRankCorrsPopAccessibility,1.4000902899094427,0.061528096495646216,1.722963483181809,0.12863963800946862,0.6056462780233737,0.14185135183741904,0.2746968532330763,0.0011181997264814371,0.002257492808497628,2.1453007748229154
deltaRankCorrsClosenessAccessibility,2.7426851055523183,0.011659613051885877,0.11351210036570618,0.012159450777709182,0.014354919473582394,0.016642735166382344,0.03849493943502869,0.005986777388514362,0.011483226528909264,1.22118481457797
rankCorrPop,0.10966050629135482,0.24090327916302456,0.32008846120940915,0.0027521240809792896,0.009516050926768771,0.01069015361305726,0.09190862136105865,2.259206335132236E-4,0.001447945878425631,0.06782411261258926
rankCorrCloseness,0.03009583828351555,0.14193838849252438,0.04369469024039268,0.0243884558337679,0.5935882074173381,0.07749319762762939,0.12664189242393073,0.007468612864107956,0.02376472271637234,0.3426783157885127
rankCorrAccessibility,0.1069470252993578,0.29908727789471273,0.3320612397898923,0.06567860299183874,0.31881946531834804,0.05493565513858618,0.1333520220110979,0.0070240152849988125,0.021565150932263598,0.38582676642090846
diversityPop,0.06221378317628066,0.6204078899366956,0.37815395954390785,0.0883972826415672,0.013196450651206481,0.0029590589550407644,0.013590972776170801,4.515089707191009E-4,0.0021933566655029423,0.06300198151243316
diversityCloseness,0.08273626275027184,0.16573062113055273,0.298453044648705,0.08054543466277521,0.37664367673143107,0.08858105857445578,0.3778895812051795,0.017704121988893352,0.05088673484779941,0.20538199610453
diversityAccessibility,0.06502529354755236,0.1615409012895996,0.936883947916494,0.0638966326760889,0.05713523418312685,0.024510186728057062,0.09937913453451604,0.0076783718464005155,0.05134652402605937,0.14137735049209607
complexityPop,0.3622865377757185,0.40366722401182553,0.44020646130640123,0.17739799706516524,0.034986319709556284,0.03060161123420719,0.020461972884962418,0.011509859747791366,0.05754929873895681,0.8433255967588081
complexityCloseness,0.24249232666308193,0.09680446014726359,0.7685478832986402,0.6211247821704495,0.25374293105840284,0.35431627657394005,0.17545132425969598,8.107761359900804E-4,0.11828410679577198,0.8996583580412778
complexityAccessibility,0.46007810877617306,0.4703943622344621,0.7760636124303966,0.44507264920047945,0.294147200878884,0.8259031745925214,0.3909458128738709,0.0025455690351622864,0.2262876894941632,2.611284909464766
governanceCostDiff,0.03674604769005907,0.1137265842433209,0.05783893118789462,0.0502632127370985,0.09502260914922585,0.04424637828335299,0.500137966927874,0.015755008486273547,0.05518044549495171,0.5113256213425206
governanceAccessDiff,0.06861451882515039,0.34684497454014734,0.22563057939290884,0.6649543720810117,0.34362966608754414,0.05034549546658395,0.07175067919594554,0.017934556683661937,0.126983465927811,0.15263245982466825
governanceProbas,0.007257907841161686,0.007451525617448886,0.02010833969194626,0.009097623153280124,0.007658510789205018,0.008991340665002862,0.007703469414822279,0.0021183023116647095,0.07600105113367028,0.021471564949181184
governanceCollab,0.2312215857213268,0.2900082403022749,0.4146538599409588,0.5493468378627456,0.2530059699020678,0.18201273586964456,0.2799862632923616,0.1781148974884362,0.738341236804963,0.4263292456037395
governanceLevel,0.26361784789422615,0.31442908501559147,0.44249248252245565,0.6030785408708179,0.25348161859862656,0.19506007884035093,0.30782698486476784,0.20136947504360078,0.7334727290713271,0.4842624199298839
networkCostBasline,0.002126586282346547,0.015165501448609684,0.0020456078248313942,9.539770901525929E-4,0.10723258214226576,0.01104995673192167,0.8746941967109617,6.921745472568216E-8,3.3857594636335455E-7,0.032638651449144275
networkCost,0.002394235435599208,0.010109893972927463,0.0027413039358182333,0.002257126446745723,0.08796516060031573,0.010594209552755226,0.8884953131246498,5.765155936055172E-4,0.002653847929116962,0.04428546384331119
