output,synthRankSize,gravityGamma,gravityDecay,gravityInterRatio,nwGmax,nwExponent,nwReinQuantile,govCostToAccess,govEffectiveProba,seed
deltaPop,0.0942769896413613,0.17417178786507514,0.07242628943667433,0.32561016891718203,7.225375346003318E-5,-0.001561982909922153,-0.0020614442796749906,-0.0011567451966503282,0.0017220303111791604,0.023370521786963427
deltaAccessibility,0.04596607726122386,0.02054851458735217,0.5174284848956036,0.01782634113085171,-0.006262481234947971,-0.00613399196704703,-0.0075517267069183346,5.855647361263264E-4,-0.006176822301901401,-0.004606349423247879
deltaCloseness,-0.004994760216231223,0.0077494757330217896,-0.002953094981329072,-0.0021354583901104784,0.4384401759985314,0.02934458045005759,0.23726757834857434,-0.0016296945594425941,-6.523106578550016E-4,-4.344428302142915E-4
deltaPopBaseline,0.09289737097069738,0.16530553215087385,0.05949461036303307,0.34830615749217414,-0.005057297207285809,-4.347277592056096E-4,5.262547944575378E-4,8.954293045289903E-8,-2.7355138826999077E-10,0.02447000424480137
deltaAccessibilityBaseline,0.030652307649087402,0.01666711578031299,0.4891065752718161,0.01818115838236056,-0.005599458338424388,-0.004542647599655811,-0.004095846919420731,-3.387845051745991E-7,-7.221482299953761E-7,0.004769073620367629
deltaClosenessBaseline,-0.0047604801744302976,0.001328268738625747,-0.0017441590943721903,-0.001990302712877071,0.47143315131848046,0.03195389631224916,0.22846952336059523,4.880379819728383E-7,1.0605867267969065E-5,0.006556932831407032
deltaEntropyPop,0.08218347814556907,0.45233853420976805,0.07780851229300957,0.24597248682407957,-0.003019522723357404,-0.002585624139389848,-0.0019851526964870347,-0.0021962034125449525,-0.0013347570374501428,0.02771115906540174
deltaEntropyCloseness,0.007219969347912638,0.010036655275744044,0.02556854251820335,-0.004327881438859459,0.4871417996860248,0.0460358037415109,0.06204712922196318,-0.0033071272861479443,8.836160651614664E-4,0.023603327501262733
deltaEntropyAccessibility,-0.006748332623766482,0.035279246166149095,0.6100130815376346,-0.0025987883515137793,0.010172202200883084,0.010379452858059968,0.022192980564873795,-4.009032908553957E-4,0.009301672609781101,0.0229943649358314
deltaHierarchiesPop,0.2019162238190622,0.3390757448468966,0.06060436689307687,0.17126389951506002,-0.002110823453450109,1.463962992120798E-4,-0.004182049586572694,-7.805712986785099E-4,-7.967380435561128E-4,0.013278103403147697
deltaHierarchiesCloseness,-3.9013684828696576E-4,0.008124734943112976,0.022637444710442045,-0.008184806032312862,0.5652326685421718,0.04918458282925462,0.05157560048510171,-0.0040116454350854,-0.0011144546012478375,0.08864049202589701
deltaHierarchiesAccessibility,0.017538468277260945,0.0691397728584042,0.28612130665752894,0.009297948828446714,0.05687851808215727,0.010649065256884508,0.09279528222286546,-0.0010998239836528321,0.0018696799062105378,0.07199869551826843
deltaHierarchiesPopBaseline,0.20134409726371044,0.32943733175275375,0.05368778530130983,0.20559093279907908,-0.0077388303524097155,0.0017826382811224238,-0.001120401845785377,4.2269045885869665E-7,-1.0773194012248795E-7,0.013758345350586036
deltaHierarchiesClosenessBaseline,0.00154386588281045,0.0036706738006650644,0.011093414499159125,-0.0013890100293555015,0.6007542152528035,0.03599226633364823,0.07097935863428889,-1.358167696850214E-5,4.563351544075674E-5,0.09973557556683088
deltaHierarchiesAccessibilityBaseline,0.0147047417117138,0.05687755481075461,0.13048491727022235,0.0227944137864204,0.14373491900424132,0.015380733275321657,0.18805538450540435,1.1299442150963171E-5,-3.7365196925251926E-6,0.0629376844304753
deltaRankCorrsPopCloseness,-9.87425337167322E-4,0.0018482166630039972,8.410909804303483E-4,-8.345072204661398E-5,-6.223679384419947E-4,6.541264473929292E-4,-0.001438645534791022,3.353474806918527E-4,-2.289634150779489E-4,1.0094279310479881
deltaRankCorrsPopAccessibility,0.012267024727239827,-0.0016967357405420149,-0.008871233135082944,0.0018936413010157208,-0.0015804324411263916,-0.0015216762465044714,8.274309394076676E-4,2.9803541598410284E-4,0.0010877558182245289,0.04888550847579278
deltaRankCorrsClosenessAccessibility,-0.019329316639271763,0.001804312288483124,0.0019273005183453127,-0.00897909064423288,0.0014571873718134266,-3.961315742376275E-4,0.004394082660216342,3.433596913110181E-4,-0.00597829924624355,-0.006840241637167838
rankCorrPop,-0.7015041052979455,-0.14316522084934563,-0.3644715965750386,0.2605754894781967,-0.09188123704183365,0.5138462118060968,1.0586161660843132,0.10736022347740355,0.2683047135762569,0.10986588868544862
rankCorrCloseness,0.0166159889504797,0.04712916086270857,0.017748773512679464,0.014761551295094369,0.42798010937719805,0.03153787360187219,0.04431407488455619,-0.0025123555034336047,0.009144493563441795,0.18455473831835675
rankCorrAccessibility,0.06468946938158701,0.13696280491830976,0.06868916176419651,0.03908225188425102,0.23187326458477128,0.04066216584361101,0.03137721588358239,3.7934397379181176E-5,0.03245459349277534,0.1652884813230451
diversityPop,8.728034275271012E-4,0.5263612423814639,0.2977346080061971,0.032147680099808486,-0.005611310780890754,-0.004836171805019577,-0.004145069841068763,-0.0017719290501909497,-0.002857153407228749,0.019074671757472364
diversityCloseness,0.01923445117715234,0.04599197117509924,0.11920749834638199,0.00979952032222543,0.23432639123014623,0.0424802279417857,0.1675782709238661,-0.0061062426561177535,0.008335717628871506,0.04552468151260489
diversityAccessibility,0.0016567905413078776,0.02082834411705225,0.681493619419403,0.011913876001327246,0.007607800041436747,0.00680810747513602,0.004581668305478077,0.005061592758548973,0.004038038624913679,0.009410251971976735
complexityPop,0.0,0.0,0.013702213985465905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complexityCloseness,-0.007008832069444922,-0.007623032491840522,-9.473528365998993E-6,0.001029456749105224,-0.007648295234149854,0.0017715498044418119,-0.007084620296372915,0.0,0.0,0.007896185893060162
complexityAccessibility,-1.3397731764012034E-4,0.0036173875762832482,-1.3397731764012034E-4,0.0010718185411209627,-2.679546352802407E-4,0.0085745483289677,4.01931952920361E-4,0.0,0.0,0.03403023868059055
governanceCostDiff,0.0017133176883748177,0.03742928637677582,-0.003215588872930278,0.004919684690419444,0.011944928945113379,-0.0017949404078138748,0.2970150502371686,-0.005733650103551367,-0.008549835702053664,0.32722334314388457
governanceAccessDiff,-0.00512996477984085,0.026705063590743552,0.05229132915926884,0.2909445453797124,0.04220056247954019,-0.001686208257645427,-0.011125132340867604,-0.0031656835841955473,-0.006569197288453064,0.003189281442997163
governanceProbas,1.4317684500198818E-4,3.79289406273831E-4,3.9842898723775287E-5,-5.188670534600278E-4,6.21398625169378E-5,2.1478278105668848E-5,7.079815210772597E-4,2.0694029039798993E-5,8.094245675617311E-5,8.758673230771501E-5
governanceCollab,-0.0338586184220632,-0.008752913350916738,5.51136217621949E-4,0.004884082139057437,-0.03327484913892419,-0.029442276888750597,-0.050824186594780434,-0.024159346171150876,0.11430275081785408,-0.053431205939978854
